0.0689	0.483637,0.270533,-0.718052,0.0356522,-0.0891304,0.404929
0.2303	0.303874,0.390294,-0.718321,0.0499578,-0.124895,0.466469
0.1415	0.38099,0.315363,-0.740671,0.0708917,-0.177229,0.408393
0.1345	0.357291,0.380719,-0.698275,0.0186606,-0.0466515,0.482308
0.0882	0.119755,0.475902,-0.692406,0.0709995,-0.177499,0.490529
0.0193	0.576309,0.20543,-0.693787,0.0160647,-0.0401618,0.373503
0.0867	0.195647,0.470613,-0.677825,0.0298203,-0.0745508,0.520361
0.1342	0.229859,0.411927,-0.723232,0.0749521,-0.18738,0.458398
0.0359	0.0789169,0.531687,-0.634883,0.023566,-0.058915,0.548292
0.0605	0.204858,0.384516,-0.73769,0.111345,-0.278363,0.41257
